Taxi Available throughout SG,temp_value,humidity_value,rainfall_value,IsWeekend,Hour
0.5597391,0.3796297,0.7521514,0.0,0.0,1.0
0.6590572,0.39814812,0.7246127,0.0,0.0,0.95652175
0.7008598,0.4074074,0.7022375,0.0,0.0,0.9130435
0.7829825,0.4166667,0.71428573,0.0,0.0,0.8695652
0.71182925,0.43518528,0.64716005,0.0,0.0,0.82608694
0.42780906,0.49074072,0.5851979,0.0,0.0,0.7826087
0.51260006,0.5555556,0.51807225,0.0,0.0,0.73913044
0.5458049,0.5925926,0.48537,0.0,0.0,0.6956522
0.55499554,0.6203705,0.41996562,0.0,0.0,0.65217394
0.5959087,0.6296296,0.45611018,0.0,0.0,0.6086956
0.45656684,0.6666668,0.41135976,0.0,0.0,0.5652174
0.582271,0.65740746,0.4130809,0.0,0.0,0.5217391
0.6623184,0.6481482,0.46299487,0.0,0.0,0.47826087
0.73050696,0.56481487,0.5438898,0.0,0.0,0.4347826
0.7026386,0.4537037,0.6265061,0.0,0.0,0.39130434
0.709161,0.3796297,0.71428573,0.0,0.0,0.3478261
0.5306848,0.3333334,0.7538726,0.0,0.0,0.3043478
0.43403497,0.2962964,0.79345953,0.0,0.0,0.26086956
0.4687222,0.2870371,0.79345953,0.0,0.0,0.2173913
0.48977172,0.2777778,0.81411356,0.0,0.0,0.17391305
0.486807,0.2870371,0.7969018,0.0,0.0,0.13043478
0.50548476,0.3055555,0.78313255,0.0,0.0,0.08695652
0.5707086,0.3333334,0.7745267,0.0,0.0,0.04347826
0.47139046,0.35185182,0.7590361,0.0,0.0,0.0
0.6412689,0.3703704,0.7297763,0.0,0.0,1.0
0.62585235,0.3796297,0.7332186,0.0,0.0,0.95652175
0.6297065,0.38888898,0.717728,0.0,0.0,0.9130435
0.6981915,0.4166667,0.686747,0.0,0.0,0.8695652
0.7880225,0.43518528,0.60929435,0.0,0.0,0.82608694
0.6474948,0.51851857,0.5094664,0.0,0.0,0.7826087
0.6021346,0.5833333,0.43717733,0.0,0.0,0.73913044
0.6083605,0.6388889,0.4268502,0.0,0.0,0.6956522
0.6836644,0.65740746,0.3321859,0.0,0.0,0.65217394
0.6964127,0.65740746,0.41135976,0.0,0.0,0.6086956
0.5671509,0.6481482,0.41996562,0.0,0.0,0.5652174
0.70412093,0.6481482,0.4337349,0.0,0.0,0.5217391
0.66528314,0.6203705,0.46987945,0.0,0.0,0.47826087
0.73050696,0.5092593,0.57487094,0.0,0.0,0.4347826
0.71390456,0.46296299,0.6385542,0.0,0.0,0.39130434
0.6252594,0.3703704,0.76075727,0.0,0.0,0.3478261
0.45567745,0.3333334,0.7848537,0.0,0.0,0.3043478
0.4888823,0.3425927,0.7745267,0.0,0.0,0.26086956
0.49688706,0.3148148,0.82099825,0.0,0.0,0.2173913
0.48117402,0.3148148,0.8089501,0.0,0.0,0.17391305
0.4962941,0.3240741,0.8020654,0.0,0.0,0.13043478
0.4040913,0.3240741,0.80550766,0.0,0.0,0.08695652
0.5947228,0.3333334,0.7969018,0.0,0.0,0.04347826
0.58582866,0.3425927,0.7951807,0.0,0.0,0.0
0.6993774,0.35185182,0.7745267,0.0,0.0,1.0
0.67447376,0.3611111,0.7521514,0.0,0.0,0.95652175
0.6125111,0.3703704,0.73149747,0.0,0.0,0.9130435
0.73050696,0.39814812,0.6901893,0.0,0.0,0.8695652
0.7554106,0.4166667,0.6712565,0.0,0.0,0.82608694
0.6679514,0.4722223,0.5800344,0.0,0.0,0.7826087
0.64690185,0.5740742,0.49397588,0.0,0.0,0.73913044
0.6391936,0.5555556,0.48020658,0.0,0.0,0.6956522
0.6881115,0.5555556,0.48537,0.0,0.0,0.65217394
0.68307143,0.5740742,0.45783132,0.0,0.0,0.6086956
0.27749777,0.56481487,0.48537,0.0,0.0,0.5652174
0.7586718,0.5740742,0.4905336,0.0,0.0,0.5217391
0.59531575,0.537037,0.48881242,0.0,0.0,0.47826087
0.61547583,0.49074072,0.62478477,0.0,0.0,0.4347826
0.7088645,0.39814812,0.69707406,0.0,0.0,0.39130434
0.44915506,0.3333334,0.76075727,0.0,0.0,0.3478261
0.46308923,0.2962964,0.7986231,0.0,0.0,0.3043478
0.45834568,0.2685185,0.81411356,0.0,0.0,0.26086956
0.4230655,0.2962964,0.7986231,0.0,0.0,0.2173913
0.46219984,0.3055555,0.8003442,0.0,0.0,0.17391305
0.4793952,0.2870371,0.8020654,0.0,0.0,0.13043478
0.5271272,0.3055555,0.7917384,0.0,0.0,0.08695652
0.57426625,0.3240741,0.7848537,0.0,0.0,0.04347826
0.6095464,0.3240741,0.7917384,0.0,0.0,0.0
0.66409725,0.3148148,0.8089501,0.0,0.0,1.0
0.67002666,0.3055555,0.807229,0.0,0.0,0.95652175
0.6128076,0.3055555,0.77108425,0.0,0.0,0.9130435
0.73495406,0.3148148,0.7521514,0.0,0.0,0.8695652
0.7960273,0.35185182,0.77969015,0.0,0.0,0.82608694
0.74236584,0.3796297,0.728055,0.0,0.0,0.7826087
0.65372074,0.425926,0.7091222,0.0,0.0,0.73913044
0.6655796,0.46296299,0.63339067,0.0,0.0,0.6956522
0.73821527,0.46296299,0.6075731,0.0,0.0,0.65217394
0.73050696,0.4722223,0.63339067,0.0,0.0,0.6086956
0.6205159,0.49074072,0.62478477,0.0,0.0,0.5652174
0.74799883,0.4166667,0.70395875,0.0,0.0,0.5217391
0.75037056,0.43518528,0.6781412,0.0,0.0,0.47826087
0.735547,0.38888898,0.73838216,0.0,0.0,0.4347826
0.6910762,0.3796297,0.757315,0.0,0.0,0.39130434
0.50340945,0.3148148,0.7951807,0.0,0.0,0.3478261
0.4580492,0.2685185,0.8123924,0.0,0.0,0.3043478
0.4645716,0.2685185,0.79001725,0.0,0.0,0.26086956
0.42691967,0.2962964,0.81067127,0.0,0.0,0.2173913
0.41535726,0.2870371,0.8020654,0.0,0.0,0.17391305
0.4399644,0.2870371,0.7969018,0.0,0.0,0.13043478
