timestamp,stationId,temp_value,humidity_value,rainfall_value
2024-02-23 00:59:00+08:00,S107,27.7,80.3,0
2024-02-23 01:59:00+08:00,S107,27.4,81.2,0
2024-02-23 02:59:00+08:00,S107,27.2,83.3,0
2024-02-23 03:59:00+08:00,S107,27.2,82.8,0
2024-02-23 04:59:00+08:00,S107,27.1,83.4,0
2024-02-23 05:59:00+08:00,S107,27,84.3,0
2024-02-23 06:59:00+08:00,S107,27.4,81.9,0
2024-02-23 07:59:00+08:00,S107,27.5,82.5,0
2024-02-23 08:59:00+08:00,S107,28.1,80.6,0
2024-02-23 09:59:00+08:00,S107,28.9,75.4,0
2024-02-23 10:59:00+08:00,S107,29.5,69.1,0
2024-02-23 11:59:00+08:00,S107,30.3,68.6,0
2024-02-23 12:59:00+08:00,S107,30.8,64.9,0
2024-02-23 13:59:00+08:00,S107,30.5,65.4,0
2024-02-23 14:59:00+08:00,S107,30.9,63.7,0
2024-02-23 15:59:00+08:00,S107,31,64.6,0
2024-02-23 16:59:00+08:00,S107,30.7,65.4,0
2024-02-23 17:59:00+08:00,S107,29.8,68.2,0
2024-02-23 18:59:00+08:00,S107,29.2,68.1,0
2024-02-23 19:59:00+08:00,S107,28.7,71.8,0
2024-02-23 20:59:00+08:00,S107,28.2,75.4,0
2024-02-23 21:59:00+08:00,S107,28.1,76.6,0
2024-02-23 22:59:00+08:00,S107,27.9,78.3,0
2024-02-23 23:59:00+08:00,S107,27.7,79,0
2024-02-24 00:59:00+08:00,S107,27.6,78.7,0
2024-02-24 01:59:00+08:00,S107,27.6,79,0
2024-02-24 02:59:00+08:00,S107,27.3,80.1,0
2024-02-24 03:59:00+08:00,S107,27.1,80.8,0
2024-02-24 04:59:00+08:00,S107,27.2,80.7,0
2024-02-24 05:59:00+08:00,S107,27,82,0
2024-02-24 06:59:00+08:00,S107,26.9,82,0
2024-02-24 07:59:00+08:00,S107,27.1,80.9,0
2024-02-24 08:59:00+08:00,S107,28.1,75.6,0
2024-02-24 09:59:00+08:00,S107,28.6,73.3,0
2024-02-24 10:59:00+08:00,S107,29.3,67.7,0
2024-02-24 11:59:00+08:00,S107,29.9,63.1,0
2024-02-24 12:59:00+08:00,S107,30,62.2,0
2024-02-24 13:59:00+08:00,S107,30.5,58.4,0
2024-02-24 14:59:00+08:00,S107,31.2,57.9,0
2024-02-24 15:59:00+08:00,S107,30.4,60.1,0
2024-02-24 16:59:00+08:00,S107,30.3,57.3,0
2024-02-24 17:59:00+08:00,S107,30,60.2,0
2024-02-24 18:59:00+08:00,S107,29.2,64,0
2024-02-24 19:59:00+08:00,S107,28.5,71.2,0
2024-02-24 20:59:00+08:00,S107,28.1,75.4,0
2024-02-24 21:59:00+08:00,S107,28,75.2,0
2024-02-24 22:59:00+08:00,S107,27.9,76.2,0
2024-02-24 23:59:00+08:00,S107,27.7,78.1,0
2024-02-25 00:59:00+08:00,S107,27.4,79.8,0
2024-02-25 01:59:00+08:00,S107,27.3,80.7,0
2024-02-25 02:59:00+08:00,S107,27.1,81,0
2024-02-25 03:59:00+08:00,S107,27,82,0
2024-02-25 04:59:00+08:00,S107,27,81.2,0
2024-02-25 05:59:00+08:00,S107,27.2,80,0
2024-02-25 06:59:00+08:00,S107,27,81.4,0
2024-02-25 07:59:00+08:00,S107,27.3,80.8,0
2024-02-25 08:59:00+08:00,S107,28.1,77.6,0
2024-02-25 09:59:00+08:00,S107,28.7,75.3,0
2024-02-25 10:59:00+08:00,S107,29.5,68.7,0
2024-02-25 11:59:00+08:00,S107,30.8,59.1,0
2024-02-25 12:59:00+08:00,S107,31.3,55.7,0
2024-02-25 13:59:00+08:00,S107,30.8,59,0
2024-02-25 14:59:00+08:00,S107,31.8,56.4,0
2024-02-25 15:59:00+08:00,S107,31.4,56.9,0
2024-02-25 16:59:00+08:00,S107,31.1,59.9,0
2024-02-25 17:59:00+08:00,S107,30.9,62.1,0
2024-02-25 18:59:00+08:00,S107,29.6,68.9,0
2024-02-25 19:59:00+08:00,S107,28.8,76.2,0
2024-02-25 20:59:00+08:00,S107,28.7,77.5,0
2024-02-25 21:59:00+08:00,S107,28.4,79,0
2024-02-25 22:59:00+08:00,S107,28.2,79.7,0
2024-02-25 23:59:00+08:00,S107,28.2,79.7,0
2024-02-26 00:59:00+08:00,S107,28,80.6,0
2024-02-26 01:59:00+08:00,S107,27.6,82.6,0
2024-02-26 02:59:00+08:00,S107,27.4,83.8,0
2024-02-26 03:59:00+08:00,S107,27.3,84.5,0
2024-02-26 04:59:00+08:00,S107,27.2,82.8,0
2024-02-26 05:59:00+08:00,S107,27.2,83.2,0
2024-02-26 06:59:00+08:00,S107,27.1,83.5,0
2024-02-26 07:59:00+08:00,S107,27.6,82.4,0
2024-02-26 08:59:00+08:00,S107,28.3,78.2,0
2024-02-26 09:59:00+08:00,S107,28.9,76.7,0
2024-02-26 10:59:00+08:00,S107,29.8,70.2,0
2024-02-26 11:59:00+08:00,S107,30.5,63.8,0
2024-02-26 12:59:00+08:00,S107,30.2,67.4,0
2024-02-26 13:59:00+08:00,S107,30.5,65.9,0
2024-02-26 14:59:00+08:00,S107,31.4,61.1,0
2024-02-26 15:59:00+08:00,S107,29.6,72.7,0
2024-02-26 16:59:00+08:00,S107,30.5,65.4,0.2
2024-02-26 17:59:00+08:00,S107,30.2,66.3,0
2024-02-26 18:59:00+08:00,S107,29.2,71.1,0
2024-02-26 19:59:00+08:00,S107,28.6,76.2,0
2024-02-26 20:59:00+08:00,S107,28.4,77.1,0
2024-02-26 21:59:00+08:00,S107,28.2,78.3,0
2024-02-26 22:59:00+08:00,S107,28.2,79.3,0
2024-02-26 23:59:00+08:00,S107,28.1,78.1,0
2024-02-27 00:59:00+08:00,S107,28.2,77.9,0
2024-02-27 01:59:00+08:00,S107,27.9,79.9,0
2024-02-27 02:59:00+08:00,S107,27.8,80.8,0
2024-02-27 03:59:00+08:00,S107,27.7,81.5,0
2024-02-27 04:59:00+08:00,S107,27.7,81.5,0
2024-02-27 05:59:00+08:00,S107,27.8,80,0
2024-02-27 06:59:00+08:00,S107,27.7,79.9,0
2024-02-27 07:59:00+08:00,S107,27.8,79.9,0
2024-02-27 08:59:00+08:00,S107,28,79.2,0
2024-02-27 09:59:00+08:00,S107,28.2,80.3,0
2024-02-27 10:59:00+08:00,S107,28.4,78.3,0
2024-02-27 11:59:00+08:00,S107,27.5,80,0
2024-02-27 12:59:00+08:00,S107,27.6,84.2,0
2024-02-27 13:59:00+08:00,S107,29.1,74.1,0
2024-02-27 14:59:00+08:00,S107,28.8,74.6,0
2024-02-27 15:59:00+08:00,S107,28.8,70.5,0
2024-02-27 16:59:00+08:00,S107,29.5,70.8,0
2024-02-27 17:59:00+08:00,S107,29.3,72,0
2024-02-27 18:59:00+08:00,S107,28.9,73.4,0
2024-02-27 19:59:00+08:00,S107,28.4,77.6,0
2024-02-27 20:59:00+08:00,S107,28,79.1,0
2024-02-27 21:59:00+08:00,S107,27.7,80.2,0
2024-02-27 22:59:00+08:00,S107,27.7,81.9,0
2024-02-27 23:59:00+08:00,S107,27.7,81.7,0
2024-02-28 00:59:00+08:00,S107,27.8,80.5,0
2024-02-28 01:59:00+08:00,S107,27.7,80.7,0
2024-02-28 02:59:00+08:00,S107,27.6,81.5,0
2024-02-28 03:59:00+08:00,S107,27.7,79.2,0
2024-02-28 04:59:00+08:00,S107,27.8,78.3,0
2024-02-28 05:59:00+08:00,S107,27.8,76.8,0
2024-02-28 06:59:00+08:00,S107,27.5,76.7,0
2024-02-28 07:59:00+08:00,S107,27.8,76.4,0
2024-02-28 08:59:00+08:00,S107,28.3,74.6,0
2024-02-28 09:59:00+08:00,S107,29.2,68.3,0
2024-02-28 10:59:00+08:00,S107,30.3,62.7,0
2024-02-28 11:59:00+08:00,S107,30.9,55.9,0
2024-02-28 12:59:00+08:00,S107,30.3,64.4,0
2024-02-28 13:59:00+08:00,S107,30.6,62.2,0
2024-02-28 14:59:00+08:00,S107,30.4,56.2,0
2024-02-28 15:59:00+08:00,S107,30.7,56.4,0
2024-02-28 16:59:00+08:00,S107,30.4,61.8,0
2024-02-28 17:59:00+08:00,S107,29.6,61.3,0
2024-02-28 18:59:00+08:00,S107,29.1,63.3,0
2024-02-28 19:59:00+08:00,S107,28.5,67.4,0
2024-02-28 20:59:00+08:00,S107,28.2,72.9,0
2024-02-28 21:59:00+08:00,S107,27.9,75.3,0
2024-02-28 22:59:00+08:00,S107,27.9,76,0
2024-02-28 23:59:00+08:00,S107,27.5,78.3,0
2024-02-29 00:59:00+08:00,S107,27.3,79.5,0
2024-02-29 01:59:00+08:00,S107,27.2,81.2,0
2024-02-29 02:59:00+08:00,S107,27,81.4,0
2024-02-29 03:59:00+08:00,S107,27,81.4,0
2024-02-29 04:59:00+08:00,S107,26.9,82.5,0
2024-02-29 05:59:00+08:00,S107,26.8,82.4,0
2024-02-29 06:59:00+08:00,S107,26.9,81.7,0
2024-02-29 07:59:00+08:00,S107,27.2,80.5,0
2024-02-29 08:59:00+08:00,S107,28.1,77.1,0
2024-02-29 09:59:00+08:00,S107,28.8,73,0
2024-02-29 10:59:00+08:00,S107,29.4,68.4,0
2024-02-29 11:59:00+08:00,S107,30.7,61.3,0
2024-02-29 12:59:00+08:00,S107,31.1,55.9,0
2024-02-29 13:59:00+08:00,S107,31.7,54.3,0
2024-02-29 14:59:00+08:00,S107,31.4,52.5,0
2024-02-29 15:59:00+08:00,S107,31.9,57.2,0
2024-02-29 16:59:00+08:00,S107,31.3,58,0
2024-02-29 17:59:00+08:00,S107,31,60.5,0
2024-02-29 18:59:00+08:00,S107,30.3,64.2,0
2024-02-29 19:59:00+08:00,S107,29.3,70.3,0
2024-02-29 20:59:00+08:00,S107,28.7,76.2,0
2024-02-29 21:59:00+08:00,S107,28.5,77.6,0
2024-02-29 22:59:00+08:00,S107,28.3,78.3,0
2024-02-29 23:59:00+08:00,S107,28,79,0
2024-03-01 00:59:00+08:00,S107,27.7,79.7,0
2024-03-01 01:59:00+08:00,S107,27.7,81.9,0
2024-03-01 02:59:00+08:00,S107,27.5,84.4,0
2024-03-01 03:59:00+08:00,S107,27.6,85.4,0
2024-03-01 04:59:00+08:00,S107,27.7,83,0
2024-03-01 05:59:00+08:00,S107,27.8,83.2,0
2024-03-01 06:59:00+08:00,S107,27.6,83.1,0
2024-03-01 07:59:00+08:00,S107,28,82.5,0
2024-03-01 08:59:00+08:00,S107,28.6,80.9,0
2024-03-01 09:59:00+08:00,S107,29.2,75.5,0
2024-03-01 10:59:00+08:00,S107,29.9,71.8,0
2024-03-01 11:59:00+08:00,S107,30.3,70.6,0
2024-03-01 12:59:00+08:00,S107,31.2,65.7,0
2024-03-01 13:59:00+08:00,S107,30.6,66.3,0
2024-03-01 14:59:00+08:00,S107,29.2,80.3,0
2024-03-01 15:59:00+08:00,S107,30.5,66.7,0
2024-03-01 16:59:00+08:00,S107,30.1,70,0
2024-03-01 17:59:00+08:00,S107,29.6,72,0
2024-03-01 18:59:00+08:00,S107,29,77.3,0
2024-03-01 19:59:00+08:00,S107,28.9,75.9,0
2024-03-01 20:59:00+08:00,S107,28.8,77.2,0
2024-03-01 21:59:00+08:00,S107,28.5,80.1,0
2024-03-01 22:58:00+08:00,S107,28.4,80.8,0
2024-03-01 23:59:00+08:00,S107,28.3,81.7,0
2024-03-02 00:59:00+08:00,S107,28,82.7,0
2024-03-02 01:59:00+08:00,S107,27.8,83.8,0
2024-03-02 02:58:00+08:00,S107,27.7,84.6,0
2024-03-02 03:59:00+08:00,S107,27.6,84.7,0
2024-03-02 04:59:00+08:00,S107,27.6,84,0
2024-03-02 05:59:00+08:00,S107,27.6,84.3,0
2024-03-02 06:59:00+08:00,S107,27.6,83.6,0
2024-03-02 07:59:00+08:00,S107,27.7,83.2,0
2024-03-02 08:59:00+08:00,S107,28.5,79.8,0
2024-03-02 09:59:00+08:00,S107,29.2,74.9,0
2024-03-02 10:59:00+08:00,S107,29.9,72,0
2024-03-02 11:59:00+08:00,S107,30.9,65.8,0
2024-03-02 12:59:00+08:00,S107,28.1,79.1,0
2024-03-02 13:59:00+08:00,S107,27.9,83.2,0.2
2024-03-02 14:59:00+08:00,S107,30.1,72.6,0
2024-03-02 15:59:00+08:00,S107,30.3,66.4,0
2024-03-02 16:59:00+08:00,S107,30.6,66.7,0
2024-03-02 17:59:00+08:00,S107,29.5,71.8,0
2024-03-02 18:59:00+08:00,S107,27.3,84.4,0
2024-03-02 19:59:00+08:00,S107,27.8,78.8,0
2024-03-02 20:59:00+08:00,S107,27.5,81.7,0
2024-03-02 21:59:00+08:00,S107,27.4,83.8,0
2024-03-02 22:59:00+08:00,S107,27.4,85.2,0
2024-03-02 23:59:00+08:00,S107,27.4,85.5,0
2024-03-03 00:59:00+08:00,S107,27.4,86.3,0
2024-03-03 01:59:00+08:00,S107,27.3,86.4,0
2024-03-03 02:59:00+08:00,S107,27.4,84.7,0
2024-03-03 03:59:00+08:00,S107,26.7,87.2,0
2024-03-03 04:59:00+08:00,S107,25.9,90.8,0
2024-03-03 05:59:00+08:00,S107,26.5,90.1,0
2024-03-03 06:59:00+08:00,S107,25.6,91.9,0
2024-03-03 07:59:00+08:00,S107,26,89.9,0
2024-03-03 08:59:00+08:00,S107,26.5,89.6,0
2024-03-03 09:59:00+08:00,S107,26.5,89.2,0
2024-03-03 10:59:00+08:00,S107,26.9,85.6,0
2024-03-03 11:59:00+08:00,S107,28.2,80.3,0
2024-03-03 12:59:00+08:00,S107,28,80.4,0
2024-03-03 13:59:00+08:00,S107,29.3,76.8,0
2024-03-03 14:59:00+08:00,S107,28.6,82,0
2024-03-03 15:59:00+08:00,S107,28.5,84.7,0
2024-03-03 16:59:00+08:00,S107,29,79.5,0
2024-03-03 17:59:00+08:00,S107,27.9,89.1,0
2024-03-03 18:59:00+08:00,S107,28.5,81.2,0
2024-03-03 19:59:00+08:00,S107,28.3,83.1,0
2024-03-03 20:59:00+08:00,S107,28.2,82,0
